Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
9491071,Cars for Sale,Phnom Penh,Toyota,RAV4,2003.0,Plate Number,Used,Other,Petrol,Auto,Silver,https://www.khmer24.com/en/cars/toyota-rav4-l-2003-%E1%9E%91%E1%9E%89%E1%9E%96%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%8A%E1%9E%98-adid-9491071.html,TOYOTA RAV4 L 2003 ទិញពីម្ចាស់ដើម,"$11,000 ",20.0
9282635,Cars for Sale,Phnom Penh,Lexus,NX,2015.0,Tax Paper,Used,SUV,,Auto,Black,https://www.khmer24.com/en/cars/lexus-nx200t-adid-9282635.html,Lexus nx200t,"$40,000 ",8.0
9148389,Cars for Sale,Phnom Penh,Lexus,LX470,1999.0,Plate Number,Used,SUV,,Auto,Black,https://www.khmer24.com/en/cars/lexus-lx47099-adid-9148389.html,Lexus LX470/99,"$10,300 ",24.0
9412337,Cars for Sale,Phnom Penh,Ford,Ranger Wildtrak,2020.0,Plate Number,Used,Pickup,Diesel,Auto,Gray,https://www.khmer24.com/en/cars/ford-ranger-wildtrak-2020-dark-gray-adid-9412337.html,Ford Ranger Wildtrak 2020 Dark Gray,"$37,500 ",3.0
9148392,Cars for Sale,Phnom Penh,Toyota,Land Cruiser PRADO,2003.0,Plate Number,Used,SUV,,Auto,Black,https://www.khmer24.com/en/cars/landcruiser-prado-2003-adid-9148392.html,Landcruiser Prado 2003,"$14,200 ",20.0
9524038,Cars for Sale,Phnom Penh,Toyota,Alphard,2003.0,Plate Number,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/alphard-2003-v4-%E1%9E%90%E1%9E%98%E1%9E%9F%E1%9E%A0%E1%9E%9C-adid-9524038.html,ALPHARD 2003 V4 ថ្មី​សាហាវ​,"$18,500 ",20.0
9524004,Cars for Sale,Phnom Penh,Toyota,Alphard,2005.0,Plate Number,Used,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/alphard-05-full%E1%9E%96%E1%9E%89-%E1%9E%9B%E1%9E%80%E1%9E%94%E1%9E%9A%E1%9E%89%E1%9E%94-adid-9524004.html,ALPHARD 05 fullពេញ លក់​ប្រញាប់​,"$19,600 ",18.0
9349273,Cars for Sale,Phnom Penh,Land Rover,Range Rover Vogue,2014.0,Plate Number,Used,SUV,Diesel,Auto,White,https://www.khmer24.com/en/cars/range-rover-vogue-%E1%9E%A1%E1%9E%84%E1%9E%9F%E1%9E%9A-2020-adid-9349273.html,Range Rover Vogue ឡើងសេរី 2020,"$57,000 ",9.0
9523966,Cars for Sale,Phnom Penh,Toyota,Camry,2011.0,Plate Number,Used,SUV,Petrol,Auto,Black,https://www.khmer24.com/en/cars/camary-011-hybrid-13%E1%9E%8F%E1%9E%85%E1%9E%8F%E1%9E%85%E1%9E%9B%E1%9E%80%E1%9E%A0%E1%9E%99%E1%9E%94%E1%9E%9A%E1%9E%89%E1%9E%94%E1%9E%9B%E1%9E%99-adid-9523966.html,camary 011 hybrid  13តិច​តួច​លក់​ហេីយ​ប្រញាប់​លុយ​,"$13,200 ",12.0
9496623,Cars for Sale,Phnom Penh,Toyota,Camry,2011.0,Plate Number,Used,SUV,Petrol,Auto,Black,https://www.khmer24.com/en/cars/%E1%9E%91%E1%9E%94%E1%9E%80%E1%9E%8F%E1%9E%94%E1%9E%93%E1%9E%80%E1%9E%8A%E1%9F%97-2011-hybrid-%E1%9E%8F10-%E1%9E%9F%E1%9E%8A%E1%9E%84%E1%9E%91-adid-9496623.html,ទេីប​កាត់​បាន​ក្ដៅៗ​ 2011 hybrid តែ10 ស្ដេីងទេ,"$13,200 ",12.0
